"","id","id2","comm_time"
"258",1445757607,29557629,3.75
"259",6865254054,66468435,99.57
"260",6804603519,3356656,0.27
"261",6868412977,83440842,0.87
"262",1445553126,44683897,1.93
"263",6893536086,53637890,8.12
"264",1446281462,67714361,2.33
"265",1445541866,75619791,0.23
"266",1446519974,83440589,1.02
"267",6884248612,357095,0.28
"268",6857786520,34922025,5.42
"269",6868468768,88644195,0.75
"270",6876747499,65225096,0.92
"271",6879971342,61751336,0.52
"272",6870833431,97107306,1.43
"273",1445620689,45653432,1.48
"274",6827466583,2277067,3.15
"275",6852998919,70369821,2.1
"276",6807309749,79237435,1.23
"277",1445553136,46203617,3.43
"278",1445678949,8555285,0.6
"279",1446718395,63521810,1.73
"280",6853013576,57417306,3.75
"281",1446234054,30641787,1.8
"282",1446180176,40209048,0.82
"283",6869689815,51335129,0.55
"284",6861692227,84471676,2
