,index,Variance,FTest,MutuaInfo,GRA,DecisionTree,XGBoost,RandomForest,ExtraTrees,Lasso
71,SC-3,1.0,71.89139853899796,0.13095182393591465,0.8013038927614174,0.0013675259240711521,0.00062989944,0.0012669179466333969,0.0009951013367787082,0.3731733382588368
72,SC-4,1.0000000000000002,5.24601162814753,0.07329614069098644,0.8021999553641512,0.0,0.0022928785,0.00021642394074095455,0.0005893895753358813,0.35026155970177275
73,SC-5,1.0,4.507061109647681,0.19888934112178447,0.802149300150241,0.00026779261450314844,0.0010749174,0.0021586404436547625,0.0015399900346707576,0.31380695218732196
74,SC-6,1.0000000000000002,6.2774784487348825,0.10248354092745382,0.801574439987858,0.0,0.0005059098,0.0002065983813342239,0.0009594501108354539,0.25400490785482127
75,VC-3,1.0,79.5174829920689,0.15102403301656775,0.8013845955457312,0.0004738957378208709,0.0016983387,0.0014280488737785505,0.0010584641363394697,0.42176145483987626
76,VC-4,1.0,11.11140131787696,0.08947060999690493,0.8019059425898362,0.0,0.0011446172,0.000924673927771655,0.0007591533246376764,0.05059928049663709
77,VC-5,1.0000000000000002,21.22771588929283,0.18008708776191762,0.8016319590697186,7.052558092099354e-05,0.0074035805,0.012279958928776511,0.001783688500084782,0.47899730632402093
78,VC-6,1.0000000000000002,4.421092319070092,0.09085870813356989,0.8014276066520806,3.056633062627144e-07,0.0003732286,0.0008495620678857945,0.0005025572194601678,0.12200023538135993
79,SPC-4,0.9999999999999999,68.25056436003324,0.13628701929162101,0.8015498935728467,0.001094527202177142,0.00069143745,0.002935771225814474,0.0012156667125224835,0.13748545492296443
80,SPC-5,1.0000000000000002,59.88557725997031,0.10138295695087685,0.8017151701865863,4.236156932139548e-05,0.003791197,0.002610205448936737,0.0014896404596576917,0.3869813786415509
81,SPC-6,1.0,83.77871378040952,0.1730184912035453,0.801677067233792,0.006447826860616283,0.0018363992,0.004969023196983347,0.0018609942322560568,0.09630409744208242
82,VPC-4,0.9999999999999999,112.7361633910497,0.16048766754708055,0.8016670237684143,0.00010221426969631736,0.0012549969,0.0009805901029532663,0.0011861401101492396,0.4312002575330863
83,VPC-5,1.0,94.7199939843679,0.21512332376341803,0.8016930603959409,0.0005509263935486255,0.00014996761,0.002040132394226628,0.0016658468523664193,0.32839696540422325
