time,country,subject,measure,value
2001-Q3,CZE,B1_GE,DOBSA,81.4
2001-Q3,CZE,B1_GE,GPSA,0.459743902
2001-Q3,CZE,B1_GE,GYSA,2.349362137
2001-Q3,CZE,B1_GE,HCPCARSA,17782.1
2001-Q3,CZE,B1_GE,HVPVOBARSA,24250.7
2001-Q3,CZE,B1_GE,LNBQR,812765.0
2001-Q3,CZE,B1_GE,LNBQRSA,801722.0
2001-Q3,CZE,B1_GE,VIXOBSA,69.3
2001-Q3,CZE,B1_GE,VOBARSA,3206888.0
2001-Q3,CZE,B1_GE,VPVOBARSA,247866.2
2001-Q4,CZE,B1_GE,CARSA,2653244.0
2001-Q4,CZE,B1_GE,CPCARSA,183704.0
2001-Q4,CZE,B1_GE,CQR,690392.0
2001-Q4,CZE,B1_GE,CQRSA,663311.0
2001-Q4,CZE,B1_GE,DNBSA,82.2
2001-Q4,CZE,B1_GE,DOBSA,82.2
2001-Q4,CZE,B1_GE,GPSA,0.658083475
2001-Q4,CZE,B1_GE,GYSA,2.575581358
2001-Q4,CZE,B1_GE,HCPCARSA,17987.3
2001-Q4,CZE,B1_GE,HVPVOBARSA,24429.4
2001-Q4,CZE,B1_GE,LNBQR,834944.0
2001-Q4,CZE,B1_GE,LNBQRSA,806998.0
2001-Q4,CZE,B1_GE,VIXOBSA,69.8
2001-Q4,CZE,B1_GE,VOBARSA,3227992.0
2001-Q4,CZE,B1_GE,VPVOBARSA,249497.4
2002-Q1,CZE,B1_GE,CARSA,2653268.0
2002-Q1,CZE,B1_GE,CPCARSA,183269.5
2002-Q1,CZE,B1_GE,CQR,618724.0
2002-Q1,CZE,B1_GE,CQRSA,663317.0
2002-Q1,CZE,B1_GE,DNBSA,82.3
2002-Q1,CZE,B1_GE,DOBSA,82.3
2002-Q1,CZE,B1_GE,GPSA,-0.143123031
2002-Q1,CZE,B1_GE,GYSA,1.257165403
2002-Q1,CZE,B1_GE,HCPCARSA,17962.3
2002-Q1,CZE,B1_GE,HVPVOBARSA,24418.3
2002-Q1,CZE,B1_GE,LNBQR,758751.0
2002-Q1,CZE,B1_GE,LNBQRSA,805843.0
2002-Q1,CZE,B1_GE,VIXOBSA,69.7
2002-Q1,CZE,B1_GE,VOBARSA,3223372.0
2002-Q1,CZE,B1_GE,VPVOBARSA,249140.3
2002-Q2,CZE,B1_GE,CARSA,2695804.0
2002-Q2,CZE,B1_GE,CPCARSA,184863.5
2002-Q2,CZE,B1_GE,CQR,680530.0
2002-Q2,CZE,B1_GE,CQRSA,673951.0
2002-Q2,CZE,B1_GE,DNBSA,83.2
2002-Q2,CZE,B1_GE,DOBSA,83.2
2002-Q2,CZE,B1_GE,GPSA,0.483468864
2002-Q2,CZE,B1_GE,GYSA,1.464313774
2002-Q2,CZE,B1_GE,HCPCARSA,18122.1
2002-Q2,CZE,B1_GE,HVPVOBARSA,24541.2
2002-Q2,CZE,B1_GE,LNBQR,813504.0
2002-Q2,CZE,B1_GE,LNBQRSA,809739.0
2002-Q2,CZE,B1_GE,VIXOBSA,70.0
2002-Q2,CZE,B1_GE,VOBARSA,3238956.0
2002-Q2,CZE,B1_GE,VPVOBARSA,250344.8
2002-Q3,CZE,B1_GE,CARSA,2699900.0
2002-Q3,CZE,B1_GE,CPCARSA,186688.3
2002-Q3,CZE,B1_GE,CQR,688136.0
2002-Q3,CZE,B1_GE,CQRSA,674975.0
2002-Q3,CZE,B1_GE,DNBSA,82.9
2002-Q3,CZE,B1_GE,DOBSA,82.9
2002-Q3,CZE,B1_GE,GPSA,0.582162894
2002-Q3,CZE,B1_GE,GYSA,1.587956923
2002-Q3,CZE,B1_GE,HCPCARSA,18301.0
2002-Q3,CZE,B1_GE,HVPVOBARSA,24684.1
2002-Q3,CZE,B1_GE,LNBQR,832129.0
2002-Q3,CZE,B1_GE,LNBQRSA,814453.0
2002-Q3,CZE,B1_GE,VIXOBSA,70.4
2002-Q3,CZE,B1_GE,VOBARSA,3257812.0
2002-Q3,CZE,B1_GE,VPVOBARSA,251802.2
2002-Q4,CZE,B1_GE,CARSA,2711824.0
2002-Q4,CZE,B1_GE,CPCARSA,189490.5
2002-Q4,CZE,B1_GE,CQR,703592.0
2002-Q4,CZE,B1_GE,CQRSA,677956.0
2002-Q4,CZE,B1_GE,DNBSA,82.6
2002-Q4,CZE,B1_GE,DOBSA,82.6
2002-Q4,CZE,B1_GE,GPSA,0.716554546
2002-Q4,CZE,B1_GE,GYSA,1.646968146
2002-Q4,CZE,B1_GE,HCPCARSA,18572.0
2002-Q4,CZE,B1_GE,HVPVOBARSA,24856.1
2002-Q4,CZE,B1_GE,LNBQR,846345.0
2002-Q4,CZE,B1_GE,LNBQRSA,820289.0
2002-Q4,CZE,B1_GE,VIXOBSA,70.9
2002-Q4,CZE,B1_GE,VOBARSA,3281156.0
2002-Q4,CZE,B1_GE,VPVOBARSA,253606.5
2003-Q1,CZE,B1_GE,CARSA,2774140.0
2003-Q1,CZE,B1_GE,CPCARSA,193913.1
2003-Q1,CZE,B1_GE,CQR,649168.0
2003-Q1,CZE,B1_GE,CQRSA,693535.0
2003-Q1,CZE,B1_GE,DNBSA,83.7
2003-Q1,CZE,B1_GE,DOBSA,83.7
2003-Q1,CZE,B1_GE,GPSA,1.062308528
2003-Q1,CZE,B1_GE,GYSA,2.874008957
2003-Q1,CZE,B1_GE,HCPCARSA,19014.8
2003-Q1,CZE,B1_GE,HVPVOBARSA,25132.4
2003-Q1,CZE,B1_GE,LNBQR,781052.0
2003-Q1,CZE,B1_GE,LNBQRSA,829003.0
2003-Q1,CZE,B1_GE,VIXOBSA,71.7
2003-Q1,CZE,B1_GE,VOBARSA,3316012.0
2003-Q1,CZE,B1_GE,VPVOBARSA,256300.6
2003-Q2,CZE,B1_GE,CARSA,2817820.0
2003-Q2,CZE,B1_GE,CPCARSA,197509.8
